system_id,replica_idx,exit_time_ns,exited,ee_flag,force_kcalmolA
bindingsite_pack,0,1.102,1,0,
bindingsite_pack,1,0.6623000000000001,1,0,
bindingsite_pack,2,0.3872,1,0,
bindingsite_pack,3,0.5918000000000001,1,0,
bindingsite_pack,4,0.784,1,0,
bindingsite_pack,5,0.0,0,1,
bindingsite_pack,6,0.6036,1,0,
bindingsite_pack,7,0.5957,1,0,
bindingsite_pack,8,1.038,1,0,
bindingsite_pack,9,0.8501000000000001,1,0,
bindingsite_pack,10,0.8933000000000001,1,0,
bindingsite_pack,11,0.0,0,1,
bindingsite_pack,12,0.0,0,1,
bindingsite_pack,13,0.0,0,1,
bindingsite_pack,14,0.0,0,1,
bindingsite_wt,0,0.675,1,0,
bindingsite_wt,1,2.9058,1,0,
bindingsite_wt,2,3.0334,1,0,
bindingsite_wt,3,5.0877,1,0,
bindingsite_wt,4,0.37,1,0,
bindingsite_wt,5,0.9183000000000001,1,0,
bindingsite_wt,6,1.4085,1,0,
bindingsite_wt,7,15.503200000000001,1,0,
bindingsite_wt,8,0.9852000000000001,1,0,
bindingsite_wt,9,10.706700000000001,1,0,
bindingsite_wt,10,1.5252000000000001,1,0,
bindingsite_wt,11,0.4487,1,0,
bindingsite_wt,12,4.2444,1,0,
bindingsite_wt,13,2.9853,1,0,
bindingsite_wt,14,3.4518,1,0,
