system_id,replica_idx,exit_time_ns,exited,ee_flag,force_kcalmolA
bindingsite_pack,0,3.7799,1,0,
bindingsite_pack,1,2.1315,1,0,
bindingsite_pack,2,2.4014,1,0,
bindingsite_pack,3,1.9313,1,0,
bindingsite_pack,4,0.5528000000000001,1,0,
bindingsite_pack,5,3.6271,1,0,
bindingsite_pack,6,0.7341,1,0,
bindingsite_pack,7,2.2322,1,0,
bindingsite_pack,8,3.5028,1,0,
bindingsite_pack,9,1.2721000000000002,1,0,
bindingsite_pack,10,1.6384,1,0,
bindingsite_pack,11,0.325,1,0,
bindingsite_pack,12,1.0064,1,0,
bindingsite_pack,13,1.4502000000000002,1,0,
bindingsite_pack,14,1.6567,1,0,
bindingsite_wt,0,3.1031,1,0,
bindingsite_wt,1,14.6989,1,0,
bindingsite_wt,2,11.5606,1,0,
bindingsite_wt,3,11.7374,1,0,
bindingsite_wt,4,5.6583000000000006,1,0,
bindingsite_wt,5,7.040400000000001,1,0,
bindingsite_wt,6,6.0141,1,0,
bindingsite_wt,7,2.1058000000000003,1,0,
bindingsite_wt,8,17.636200000000002,1,0,
bindingsite_wt,9,7.641900000000001,1,0,
bindingsite_wt,10,16.0781,1,0,
bindingsite_wt,11,23.1992,1,0,
bindingsite_wt,12,4.041300000000001,1,0,
bindingsite_wt,13,6.4717,1,0,
bindingsite_wt,14,5.2646999999999995,1,0,
